ticker,transaction_date,number_of_transactions
RUN,2020/07/13,24
MSFT,2020/02/13,18
SO,2020/03/16,16
AMN,2020/09/02,9
CRWD,2021/10/01,8
NTAP,2021/02/01,8
WYNN,2021/08/04,7
SH,2020/04/29,7
BRK.B,2021/03/10,6
ESI,2020/04/01,6
KTOS,2021/01/25,5
FIS,2020/12/23,5
DKNG,2020/06/03,5
DIS,2020/03/18,5
BSX,2021/08/03,4
EXAS,2021/05/20,4
VUZI,2021/05/20,4
TSLA,2021/04/30,4
INFO,2021/02/02,4
V,2021/01/28,4
PYPL,2021/01/22,4
NFLX,2021/01/19,4
FB,2020/06/24,4
USMC,2020/05/26,4
DLTR,2020/03/09,4
Z,2021/12/22,3
BKNG,2021/12/15,3
GPN,2021/11/16,3
LBRDA,2021/09/17,3
BROS,2021/09/15,3
DE,2021/08/10,3
RBLX,2021/06/25,3
FDX,2021/06/24,3
VTRS,2021/05/20,3
IQV,2021/05/20,3
AHCO,2021/05/20,3
MTBC,2021/05/20,3
GNRC,2021/05/12,3
CCI,2021/05/04,3
EL,2021/03/24,3
NVDA,2021/03/23,3
KRE,2021/03/18,3
CME,2021/03/08,3
AMTX,2021/03/04,3
SNAP,2021/03/02,3
MS,2021/03/01,3
PLXS,2021/02/26,3
MTCH,2021/02/25,3
AZN,2021/02/22,3
GLD,2021/02/22,3
ZM,2021/02/11,3
TCEHY,2021/02/05,3
AAPL,2021/01/15,3
AZO,2020/12/30,3
WFC,2020/12/24,3
GM,2020/11/23,3
NVS,2020/11/23,3
ADBE,2020/11/19,3
AMZN,2020/11/19,3
IWN,2020/11/10,3
BX,2020/11/04,3
CW,2020/11/03,3
MDT,2020/10/28,3
BMY,2020/10/22,3
WSTL,2020/10/13,3
VDC,2020/09/21,3
UBER,2020/08/26,3
CRM,2020/08/24,3
TRUP,2020/08/12,3
PSQ,2020/07/09,3
ENBL,2020/06/10,3
TJX,2020/05/27,3
SKYY,2020/05/19,3
GOOG,2020/04/17,3
VIG,2020/04/15,3
DGRO,2020/04/06,3
SBUX,2020/03/30,3
ECL,2020/03/23,3
UNH,2020/03/23,3
DEO,2020/03/18,3
VPU,2020/03/18,3
SSNC,2020/03/12,3
SDY,2020/03/11,3
CERN,2020/02/27,3
UL,2020/01/28,3
BKI,2020/01/02,3
BYND,2019/12/30,3
BXS,2019/12/12,3
MMM,2019/11/22,3
JNJ,2019/07/18,3
DD,2019/06/03,3
BDX,2019/04/23,3
MKL,2019/04/11,3
USB,2019/04/02,3
JPM,2019/03/13,3
DVN,2021/12/30,2
QMCO,2021/12/23,2
TWTR,2021/12/16,2
ATVI,2021/12/06,2
LIN,2021/12/06,2
EPD,2021/11/19,2
NDAQ,2021/11/18,2
PTON,2021/11/12,2
LMT,2021/10/22,2
APD,2021/10/22,2
SQ,2021/10/04,2
LW,2021/09/24,2
RPM,2021/09/16,2
PRGS,2021/09/02,2
BABA,2021/08/27,2
CHD,2021/08/27,2
QQQ,2021/08/16,2
COIN,2021/08/13,2
PM,2021/08/11,2
AM,2021/08/11,2
AAL,2021/08/10,2
ZBH,2021/08/06,2
TIP,2021/08/06,2
CNA,2021/08/02,2
IRM,2021/07/27,2
UBS,2021/07/27,2
HNDL,2021/07/01,2
KMB,2021/06/16,2
CTSH,2021/06/15,2
XOM,2021/06/10,2
BLK,2021/06/04,2
GSK,2021/06/04,2
SPG,2021/06/04,2
SPGI,2021/06/04,2
BBY,2021/06/04,2
FSLR,2021/06/04,2
XYL,2021/06/04,2
MMP,2021/05/25,2
DFS,2021/05/20,2
MO,2021/05/03,2
EMKR,2021/04/19,2
SHLX,2021/04/14,2
SPOT,2021/04/13,2
ABNB,2021/04/13,2
CHWY,2021/04/05,2
MET,2021/04/05,2
ICE,2021/03/31,2
CMG,2021/03/26,2
KO,2021/03/25,2
R,2021/03/25,2
UAL,2021/03/24,2
COLD,2021/03/15,2
LMND,2021/03/15,2
AVY,2021/03/12,2
CSL,2021/03/12,2
DOV,2021/03/11,2
CFR,2021/03/11,2
SIRI,2021/03/10,2
ADSK,2021/03/10,2
WLTW,2021/03/10,2
BURL,2021/03/09,2
NBIX,2021/03/09,2
UPS,2021/03/05,2
LLY,2021/03/05,2
TRN,2021/03/02,2
C,2021/03/01,2
DXC,2021/03/01,2
TPR,2021/03/01,2
HSIC,2021/02/26,2
RHI,2021/02/26,2
VRSK,2021/02/25,2
ILMN,2021/02/25,2
ETN,2021/02/25,2
BKEP,2021/02/24,2
VIAC,2021/02/17,2
CCL,2021/02/16,2
CAT,2021/02/11,2
PG,2021/02/11,2
TXN,2021/02/11,2
ORLY,2021/02/11,2
BAC,2021/02/11,2
CHTR,2021/02/11,2
KKR,2021/02/11,2
MMC,2021/02/11,2
NVR,2021/02/11,2
PH,2021/02/11,2
GILD,2021/02/11,2
VZ,2021/02/11,2
FRC,2021/02/11,2
SHW,2021/02/11,2
HIG,2021/02/11,2
PSA,2021/02/11,2
WY,2021/02/11,2
HBI,2021/02/11,2
MDLZ,2021/02/11,2
TLRY,2021/02/09,2
HD,2021/02/08,2
TSM,2021/02/08,2
T,2021/02/08,2
FMS,2021/02/02,2
NVT,2021/02/02,2
FCFS,2021/02/02,2
VRM,2021/02/01,2
MRNA,2021/01/29,2
MRK,2021/01/28,2
MA,2021/01/28,2
WMT,2021/01/28,2
DBSDY,2021/01/28,2
WEC,2021/01/28,2
W,2021/01/25,2
IFNNY,2021/01/22,2
NFG,2021/01/19,2
SFE,2021/01/19,2
STLA,2021/01/19,2
CNC,2021/01/15,2
CB,2021/01/15,2
GOOGL,2021/01/15,2
JIH,2021/01/14,2
DOCU,2021/01/14,2
AXP,2021/01/13,2
ACGL,2021/01/13,2
ACN,2021/01/12,2
AMRC,2020/12/29,2
HDS,2020/12/18,2
CATM,2020/12/17,2
NGL,2020/12/01,2
GMLP,2020/12/01,2
USDP,2020/12/01,2
FTNT,2020/11/27,2
MUR,2020/11/20,2
DG,2020/11/19,2
APPL,2020/11/19,2
HUM,2020/11/19,2
AMAT,2020/11/19,2
AVGO,2020/11/19,2
ORCL,2020/11/19,2
IR,2020/11/19,2
ALXN,2020/11/19,2
FNF,2020/11/19,2
LNT,2020/11/19,2
HON,2020/11/18,2
GDDY,2020/11/18,2
STAY,2020/11/18,2
CVS,2020/11/17,2
ABBV,2020/11/17,2
TRGP,2020/11/12,2
STT,2020/11/05,2
EW,2020/11/05,2
SAP,2020/11/05,2
PHG,2020/11/05,2
NVO,2020/11/05,2
ORAN,2020/11/05,2
INVH,2020/11/05,2
NGG,2020/11/05,2
SKX,2020/11/05,2
CMCSA,2020/11/04,2
MU,2020/11/03,2
MCRN,2020/11/03,2
CCEP,2020/10/22,2
INTC,2020/10/22,2
UNP,2020/10/22,2
HSBC,2020/10/22,2
MOS,2020/10/22,2
CEQP,2020/10/22,2
ELAN,2020/10/22,2
HOLX,2020/10/22,2
FLIR,2020/10/22,2
LGND,2020/10/22,2
CVX,2020/10/16,2
OLED,2020/10/15,2
ABT,2020/09/28,2
PFE,2020/09/16,2
POST,2020/09/11,2
PASO,2020/09/02,2
KR,2020/09/01,2
RXT,2020/09/01,2
ENLC,2020/08/28,2
GEL,2020/08/28,2
BXS$A,2020/08/20,2
