ticker,transaction_date,number_of_transactions
ECOM,2021/02/10,8
X,2021/05/06,6
OXY,2021/02/16,6
CLF,2021/07/21,5
AA,2021/01/06,5
DIS,2020/04/14,5
AAPL,2018/11/27,5
AXP,2015/02/20,5
BABA,2021/09/13,4
KLAC,2021/04/06,4
INTC,2021/01/04,4
NVDA,2020/09/04,4
CSCO,2020/04/14,4
BMY,2020/04/14,4
KR,2020/03/16,4
T,2020/02/25,4
DWDP,2017/09/01,4
GILD,2016/09/06,4
HAL,2015/02/20,4
RNWK,2014/06/06,4
PYPL,2021/11/17,3
SCCO,2021/11/02,3
CALX,2021/04/27,3
PSQ,2021/01/04,3
SH,2021/01/04,3
NFLX,2020/08/20,3
ICE,2020/05/20,3
ORCL,2020/04/14,3
CVX,2020/04/07,3
DD,2020/04/07,3
DAL,2020/04/07,3
PRU,2020/04/07,3
EMR,2020/04/07,3
AIG,2020/04/07,3
URBN,2020/03/04,3
PFE,2020/02/28,3
CZR,2020/02/27,3
PSXP,2020/02/21,3
LGF-B,2019/11/11,3
CBS,2019/11/11,3
BSTZ,2019/06/26,3
TRP,2019/04/17,3
FDX,2019/03/28,3
FDC,2018/11/15,3
FEYE,2018/11/07,3
SHLX,2018/09/20,3
FB,2018/03/19,3
AMZN,2018/02/05,3
ETY,2017/12/13,3
SPY,2017/12/13,3
WMT,2017/08/10,3
KMI,2017/03/23,3
WMB,2016/11/10,3
ASIX,2016/10/03,3
GEL,2016/09/13,3
WM,2016/07/07,3
PAA,2015/08/06,3
DISCA,2015/08/06,3
BAX,2015/08/04,3
CY,2014/09/18,3
GEMIX,2021/02/12,2
SSYS,2021/02/04,2
FCPIX,2021/01/13,2
WDAY,2020/10/16,2
WFC,2020/08/21,2
BRK-B,2020/08/21,2
JPM,2020/08/21,2
V,2020/08/21,2
ABBV,2020/08/21,2
TSLA,2020/07/07,2
AAL,2020/06/04,2
VZ,2020/04/14,2
XOM,2020/04/14,2
CVS,2020/04/14,2
BAC,2020/04/14,2
DOW,2020/04/14,2
MRK,2020/04/14,2
CL,2020/04/14,2
COST,2020/04/14,2
MU,2020/04/14,2
STT,2020/04/14,2
BP,2020/04/14,2
CMCSA,2020/04/07,2
AMGN,2020/04/07,2
CAT,2020/04/07,2
CTSH,2020/04/07,2
AFL,2020/04/07,2
HIG,2020/04/07,2
DFS,2020/04/07,2
K,2020/04/07,2
CR,2020/04/07,2
AIZ,2020/04/07,2
ADM,2020/04/07,2
GLD,2020/04/02,2
GBIL,2020/04/02,2
CEF,2020/04/02,2
MBXIX,2020/04/02,2
SBUX,2020/03/23,2
PAGP,2020/03/20,2
LYV,2020/03/18,2
ENB,2020/03/13,2
VIAC,2020/02/25,2
TRGP,2020/02/10,2
ET,2020/02/10,2
HBI,2020/02/07,2
ENTG,2020/01/02,2
UAA,2019/12/17,2
DVN,2019/11/11,2
ALB,2019/11/08,2
NOC,2019/11/04,2
JNJ,2019/09/25,2
TXN,2019/09/25,2
KO,2019/09/25,2
MPC,2019/09/25,2
GIS,2019/09/25,2
WES,2019/09/18,2
BPL,2019/09/16,2
GPK,2019/08/14,2
EXR,2019/08/13,2
IBM,2019/07/05,2
CTVA,2019/06/17,2
GLW,2019/06/14,2
MOS,2019/03/28,2
BWXT,2019/03/19,2
BA,2019/03/15,2
TMO,2019/02/28,2
SYK,2019/02/28,2
WPX,2019/02/05,2
AM,2019/01/09,2
F,2018/12/28,2
WY,2018/12/19,2
GS,2018/12/19,2
UPS,2018/12/12,2
USB,2018/12/06,2
MSFT,2018/12/06,2
DVA,2018/12/06,2
GOOG,2018/12/06,2
RDS-B,2018/12/06,2
LM09.SG,2018/12/06,2
MMP,2018/09/24,2
EQM,2018/09/10,2
OKE,2018/09/10,2
PODD,2018/08/30,2
GM,2018/07/25,2
KN,2018/07/25,2
MCHP,2018/07/09,2
MYL,2018/07/02,2
RF,2018/06/21,2
LNG,2018/06/21,2
FOXA,2018/06/14,2
UNH,2018/06/04,2
CRMT,2018/05/22,2
SUN,2018/02/09,2
REVB,2018/01/08,2
PFS,2018/01/08,2
KHC,2017/12/26,2
AXTA,2017/12/14,2
TJX,2017/11/30,2
ANDX,2017/11/29,2
QCOM,2017/11/07,2
RTN,2017/09/27,2
GE,2017/09/26,2
COF,2017/09/26,2
TCS,2017/09/26,2
CELG,2017/09/07,2
Q,2017/06/22,2
WFM,2017/06/16,2
MGA,2017/05/30,2
C,2017/05/24,2
LB,2017/04/05,2
AGN,2017/03/06,2
XBI,2017/03/06,2
ADI,2017/03/06,2
DISH,2017/02/10,2
PEP,2017/01/31,2
MO,2017/01/30,2
NXPI,2017/01/18,2
PANW,2017/01/11,2
DHR,2016/12/14,2
XSD,2016/12/14,2
EPD,2016/12/13,2
ISRG,2016/11/23,2
WETF,2016/11/23,2
HAS,2016/10/26,2
REGN,2016/09/06,2
NSRGY,2016/09/06,2
ZBH,2016/07/25,2
AMG,2016/07/25,2
ESRX,2016/07/07,2
AXLL,2016/06/28,2
VFC,2016/05/17,2
DPM,2016/04/21,2
NWL,2016/03/24,2
USG,2016/03/02,2
ETP,2016/02/22,2
ADT,2016/02/17,2
WLK,2016/01/29,2
SPY160219P00180000,2016/01/19,2
UA,2016/01/06,2
LRCX,2015/12/22,2
CVC,2015/08/05,2
BIIB,2015/08/04,2
LQDT,2015/07/28,2
PKI,2015/07/17,2
LSCC,2015/06/04,2
TBF,2015/05/04,2
ETE,2015/03/13,2
KMB,2015/02/20,2
ETN,2015/01/14,2
AAN,2015/01/08,2
KORS,2014/12/18,2
TOLLX,2014/12/15,2
PCAR,2014/11/25,2
SLB,2014/09/16,2
IRM,2014/08/08,2
ACT,2014/05/22,2
CRM,2014/04/03,2
RNR,2021/12/28,1
RHP,2021/12/23,1
BRK.B,2021/12/21,1
PII,2021/12/21,1
CI,2021/12/21,1
BK,2021/12/21,1
DDOG,2021/11/08,1
QQQ,2021/07/06,1
ADP,2021/06/30,1
ADBE,2021/06/24,1
FCX,2021/05/24,1
TTD,2021/05/10,1
CSX,2021/04/21,1
AMAT,2021/04/06,1
EA,2021/04/05,1
GOOGL,2021/03/29,1
INTU,2021/03/29,1
WAL,2021/03/29,1
MMM,2021/03/29,1
DECK,2021/03/29,1
CLX,2021/03/29,1
CHE,2021/03/29,1
BHP,2021/03/29,1
ATHM,2021/03/29,1
AME,2021/03/29,1
IEX,2021/03/29,1
CTAA,2021/02/16,1
FIMKX,2021/02/12,1
GME,2021/01/27,1
RODM,2021/01/13,1
CAG,2021/01/11,1
VRM,2021/01/08,1
SBIO,2020/12/30,1
PBA,2020/12/30,1
SQ,2020/12/22,1
