best_date,number_of_transactions,,sort_key
"$1,001 -",2021/02/22,2,1001
"$1,001 - $15,000",2020/03/18,13,15000
"$1,000 - $15,000",2021/05/20,1,15000
"$15,001 - $50,000",2021/02/16,8,50000
"$15,000 - $50,000",2021/05/20,1,50000
"$50,001 - $100,000",2021/01/04,4,100000
"$100,001 - $250,000",2021/01/15,4,250000
"$250,001 - $500,000",2020/11/17,3,500000
"$500,001 - $1,000,000",2020/03/13,3,1000000
"$1,000,000 +",2021/01/22,2,1000000
"$1,000,001 - $5,000,000",2020/08/07,1,5000000
"$5,000,001 - $25,000,000",2020/09/02,1,25000000
"$50,000,000 +",2020/01/09,1,100000000
