sector,transaction_date,number_of_transactions
Financial Services,2020/04/14,30
Fund,2020/04/02,27
Consumer Cyclical,2020/04/14,23
Technology,2020/04/14,20
Industrials,2020/04/07,20
Energy,2020/04/15,18
Healthcare,2020/04/14,17
Consumer Defensive,2020/04/14,16
Basic Materials,2020/04/14,8
Communication Services,2020/04/14,6
Utilities,2017/06/15,5
Real Estate,2020/07/09,4
Services,2015/02/13,4
Trust,2019/06/26,3
Financial,2014/05/07,3
Consumer Goods,2015/02/13,2
Communications,2021/12/01,1
Cryptocurrency,2021/08/16,1
Consumer Discretionary,2017/04/04,1
Oil & Gas Storage & Trpor,2015/05/01,1
Industrial Goods,2014/12/18,1
