name,count,color
"Moran, Jerry (R-KS)",8,#FF0000
"Hagerty IV, William F. (R-TN)",2,#FF0000
"Tuberville, Thomas H. (R-AL)",15,#FF0000
"Hickenlooper, John W. (D-CO)",1,#0000FF
"Whitehouse, Sheldon (D-RI)",81,#0000FF
"King Jr., Angus S. (I-ME)",7,#800080
"Wyden, Ronald L. (D-OR)",5,#0000FF
"Cassidy, William (R-LA)",16,#FF0000
"Hoeven, John (R-ND)",9,#FF0000
"Reed, John F. (D-RI)",2,#0000FF
"Perdue Jr., David A. (R-GA)",212,#FF0000
"Collins, Susan M. (R-ME)",18,#FF0000
"Cantwell, Maria E. (D-WA)",5,#0000FF
"Capito, Shelley M. (R-WV)",1,#FF0000
"Peters, Gary C. (D-MI)",1,#0000FF
"Carper, Thomas R. (D-DE)",4,#0000FF
"Tillis, Thomas R. (R-NC)",30,#FF0000
"Booker, Cory A. (D-NJ)",3,#0000FF
"Gottheimer, Josh (D-NJ)",108,#0000FF
"Gonzalez, Anthony E. (R-OH)",1,#FF0000
"Beyer, Donald S. (D-VA)",112,#0000FF
"Schrader, Kurt (D-OR)",9,#0000FF
"Long, Billy (R-MO)",1,#FF0000
"Meijer, Peter (R-MI)",53,#FF0000
"Brooks, Mo (R-AL)",6,#FF0000
"Phillips, Dean (D-MN)",91,#0000FF
"Axne, Cynthia (D-IA)",61,#0000FF
"Garcia, Mike (R-CA)",4,#FF0000
"Jacobs, Christopher L. (R-NY)",5,#FF0000
"Perlmutter, Ed (D-CO)",22,#0000FF
"Gianforte, Greg (R-MT)",23,#FF0000
"Welch, Peter (D-VT)",1,#0000FF
"Marshall, Roger W. (R-KS)",14,#FF0000
"Sessions, Pete (R-TX)",11,#FF0000
"Cohen, Steve (D-TN)",4,#0000FF
"Sherrill, Mikie (D-NJ)",19,#0000FF
"Lofgren, Zoe (D-CA)",23,#0000FF
"Pallone, Frank (D-NJ)",1,#0000FF
"Ross, Deborah K. (D-NC)",10,#0000FF
"Curtis, John (R-UT)",1,#FF0000
"Crenshaw, Daniel (R-TX)",1,#FF0000
"Timmons, William R. (R-SC)",2,#FF0000
"Scott, Austin (R-GA)",5,#FF0000
"Brooks, Susan W. (R-IN)",2,#FF0000
"Keating, William R. (D-MA)",4,#0000FF
"Upton, Fred (R-MI)",2,#FF0000
"Flores, Bill (R-TX)",1,#FF0000
